opini_dokumen,opini_label
"Ruangane panas pak, saestu",n
"Ac tolong lebih dingin, kursi yang bersih dan tidak goyang2",n
Menambah fasilitas sound sistem,p
Mohon jaringan free wifi diperluas agar mahasiswa dapat mengakses internet diseluruh area kampus,p
Sebaiknya lebih ditingkatkan dalam menyamp[aikan materi agar lebih mudah difahami oleh mahasiswa supaya bisa lebih memahami (kalkulus 02),p
Toleransi waktu,n
Penjelasan materi dipelan-pelan agar mahasiswa benar-benar paham,n
Pengambilan kartu ujian disesuaikan agar pengambilan kartu mahasiswa tidak antri (tambah loket) ketersediaan dalam ruang kelas belum memadai tempat parkir disiapkan lagi,n
Agar fasilitas kelas lebih ditingkatkan karena masih bisa dibiolang fasilitas yang ada masih kurang,n
Benerin atap didepan baa,n
"Akprind tolong diperluas dan dosen jangan selalu membeda bedakan perlakuan terhadap anak ..... mahasiswa yang bukan anak walinya fivry wellda maulana, st., mt.",n
"Akprind tolong diperluas dan dosen jangan selalu membeda bedakan perlakuan terhadap anak ..... mahasiswa yang bukan anak walinya fivry wellda maulana, st., mt.",n
Kalkulus 02 : lebioh meningkatkan lagi proses pembelajarannya lebih mengenal mahasiswanya,n
Fasilitas ohp/lcd kurang memadai dan kurang bermanfaat,n
Kalkulus 02 : dosen yang bersangkutan diharapkan dalam menjelaskan materi tidak terlalu cepat karena sulit dipahami,n
"Perbanyak pendingin ruangan, kipas angin hanya membuat meriang mahasiswanya",n
Warna lcd tidak sesuai warna aslinya,n
"Bangunan sudah tua perlu renovasim tidak tersedia jaringan wifi dan kelas terlalu panas, terkadang dosen menjleaskan terlalu cepat (kampus3)",n
Ac kurang dingin malah panas wifi tidak bisa dinikmati,n
Wifi masih lemot ruang kampus mahasiswa tolong dibenah,n
Gedung perlu direnovasi/diperbanyak sehingga sehingga dipandang oleh masyarakat,n
"Perbaiki yang harus diperbaiki, kamu butuh realisasi",n
Ruang kelas kotor wifi kurang kencang student lounge kurang kantin sempit,n
"Wifi kampus jelek, ac kampus jelek",n
Meningkatkan materi-materi dan sistem pembelajaran yang meningkatkan kemampuan dan pemahaman mahasiswa,p
Kelayakan ohp/lcd fasilitas kelas yang lain diperbaharui,p
Penambahan ac,n
Kebersihan kelas tolong diperhatikan dan juga kampus dipasang wifi untuk para mahasiswa karena mahasiswa sangat sulit mengakses internet di area kampus,n
"Ruangan pasang ac, udah bayar mahal",n
"Pendingin ruangan area hotspot, ruang diskusi semua fasilitas harus ditambah dan diperbaiki !!!",n
"Ac difungsikan sebagaimana fungsinya wifi gratis yang memadai kantin, ruang tunggu diperbanyak",n
Ruangan harusnya full ac,n
Tingkatkan sarana dan prasarana kampus,p
"Ac dibeli bagus lagi, ruangan terlalu panas, alat tulis berupa spidol sering kehabisan tinta",n
Disediakan taman/ruang hujai ketersediaan alat tulis (spidol) dipantau isi spidol tsb sarana dan prasarana kampus harap ditingkatkan,n
"Ruangan mohon dicat !!!, semoga didengar diapresiasikan, amien",n
"Pengecekan ac, lcd, papan tulis, spidol masih kurang penyediaan wifi yang memadai dan gratis pengecekan niali, referensi dapat dilakukan dirumah tidak harus di portal kampus penyediaan microphone sebagai sarana penunjang dikelas",n
Pak dosen kalau ngajar jangan terlalu lemah,n
"Penyediaan lcd baru yang lebihbaik untuk pelaksanaan kuliah yang efektif ketersediaan referensi acuan pokok di perpus lebih dilengkapi pengecekan transkrip nilai dapa dilakukan dirumah, agar ortu juga dapat memantau",p
Kursi ganti yang empuk wifi lemot parkiran dirapikan(tukan parkir kesed) kebersihan ditingkatkan,n
"Teknik lingkungan 02 : saran saya adalah untuk pemberian tugas kepada mahasiswa seharusnya lebih memberikan manfaat dan tepat sasaran, jangan hanya tugas yang bisa dicari mahasiswa lewat google saja, tugas harus lebih inovasi lagi, terima kasih ",p
"Ketersediaan literatur penunjang matakuliah perlu ditambahkan penyampaian didepan kelas agar diperjelas lagi fivry wellda maulana, st., mt.",n
Ac tidak berfungsi lcd sering error,n
"Ac kurang dingin wifi kampus lemot kampus perlu di cat ulang parkiran perlu ditambah satpam agar lebih tegas saat diatur, biar ga tidur saja",n
"Sarana parkir yang memadai, ruang terbuka hijau",p
"Fasilitas, birokrasi akademik itu perlu dikaji ulang",n
"Ruang kelas yang memadai & fasilitas kipas/ac ruang kelas yang bersih, keramik yang rapi dikampus 3",p
Sarana prasarana lebih dilengkapi dan papan white board lebih bersih agak enak dalam proses belajar mengajar,p
Semoga penunjang dalam kelas mohon diperhatikan,p
Spidol yang layak,p
Hari wisuda diganti hari sabtu dan parktikum ditiadakan spidol sebelum masuk kuliah diganti papan tulis kotor tetapi tidak dibersihkan,n
Perbaiki ac disemua ruangan ganti proyektor dan lcd yang baru perbaiki dan aadakan tambahan komputer untuk cek nilai tambahkan ruang praktikum untuk jurusan teknik geologi,p
Sediakan ohp yang berkualitas dan perbaiki lcd yang rusak,n
Ruangan kampus diperbaiki lago keamanan pada tempat parkir kurang fasilitas kampus seperti tem[at duduk luar ruangan ditambah lagi,n
Tambah pepohonan didepan kampus 1,p
"Terkadang materi yang dibawakan terlalu cepat dan sulit untuk dipahami, pemberuian contoh dan tugas terkadang berbeda dan membuat binggung ditambah waktu untuk menyelesaikan yang hanya sedikit ir. murni yuniwati, mt.",n
Ditambahkan ac agar ruangan tidak panas,p
Ruang kelas diperbaiki dan tambah pendingin ruangan,p
Kipas perlu diganti dengan ac,n
"Lebih baik lagi untuk kedepannya dalam metode pembelajaran ir. murni yuniwati, mt.",p
Kenyamanan kelas lebh ditingkatkan lagi,p
Harap memberi contoh berupa video/animasi saat mengajar,p
"Ruangan terlalu kecil, sedangkan mahasiswanya banyak",n
Harus lebih tepat waktu lagi,p
"Ruangan tidak berac, lantai rusak, tidak ada wifi",n
"Menurut saya sebaiknya saat mengajar ibu dapat memperjelas suaranya ir. murni yuniwati, mt.",p
Sudah bagus,p
"Harus ditingkatkan sarana dan prasaranannya, misalnya mesin atm (mandiri, bri, dan bni) ac harus disetiap ruangan",p
Kelas tidak berac,n
Kelas kurang ac,n
Ruang p-14 dilengkapi dengan pendingin ruangan (ac),n
Perbaiki fasilitas,n
Tingkatkan dan manfaatkan sarana dan prasarana kampus,p
ruangan diberi ac. lebih dekat dan lebih mengenal mahsiswanya,p
Lebih ditingkatkan lagi kedepannya,p
Lebih meningkatkan kinerja untuk keberhasilan mahasiswa,p
Masih ada bahasa yang kasar dalam penyelenggaraan perkuliahan mohon untuk dihilangkan (pti 32),n
Referensi di perpus ditambah,n
Perbanyak lagi buku perpustakaan,n
Kebersihan white board tolong ditingkatkan sering kali kuliah berlangsung white board kotor waktu pembersihan rutin tiap minggu,n
Kampus perlu direnovasi minimal di cat ulang,n
"Sarana penunjang seperti ruang pembelajaran harap dibenahi kembali seperti cac, pengeras suara, pengharum ruangan dan sistem absensi",p
Perlu tambahan atap pada parkiran kampus 3,p
Dilengkapi fasilitas yang masih kurang,p
Tolong wifinya jangan dipassword,n
"Butuh wifi, butuh kantin, butuh pohon, butuh sarana olahraga ",n
Fasilitas kurang memadahi,n
Ac kurang dingin,n
Go green bebaskan asap di kampus parkiran terutama di lab perbaii fasilitasnya(atap teduh parkir),p
"Ac kurang dinging, ditambah pewangi ruangan",n
"You are the best dosen h. drs. khairul muhajir, m.t.",p
Lebih ditingkatkan lagi,p
Bebaskan dari asap rokok,n
"Acnya kurang banyak, lantainya dikeramik pak, whiteboard diganti, wifi jelek",n
"Proses birokrasi pengajuan dan untuk karya mahasiswa lomba jangan dipersulit, jika kampus kita mau berkembang",n
Kebersihan perlu ditingkatkan pendingin ruangan kurang atapnya bocor kalau hujan,n
"Koneksi internet diperlancar lagi, terimakasih",p
"Mohon agar plafon diperbaiki ya, bocor soalnya, agarv mahasiswa bisa belajar dengan baik (r. s2-03)",p
"kelayakan ac diruang perkuliahan lebih ditingkatkan, agar memperlancar ketika perkuliahan berlangsung",p
Sudah cukup baik,p
Setiap ruangan diberi 2 unit ac agar tidak kepanasan,n
Kerapian kelas ditingkatkan lagi butuh ac,n
Kerapian kelas ditingkatkan lagi,n
Butuh ac,n
Ruang kelas panas,n
Kurang ac,n
"Ruangan ac dari s2-02-07 tidak dingin dicabut aja, tidak ada gunannya jam dinding dikelas ",n
Ac nya pak,n
Fasiltias ac diperbanyak,n
"Ac, lcd mohon diperbaiki",n
Plafon bocor,n
Ac nya kurang dingin tidak ada modul pada setiap mata kuliah wifi jelek sekali,n
Fasilitasnya ditambah dan dibenahi,p
Kebersihan kelas dan dnding kelas kurang,n
Ruang kelasnya kurang lengkap,n
Mohon wifi diperbaiki lagi jaringannya !!!,n
Fasilitas sudah bagus,p
Semangat pagi,p
Ac panas!! proyektor rusak,n
Semangat,p
Secara keseluruhan harus ditingkatkan,p
Fasilitas sudah mencukupi,p
Lengkapi sarana & prasarana penunjang kuliah,p
Kursi ganti,n
Wifi lemot,n
"Spidol kelas sering macet, tidak ada isi. kipas angin sering mati",n
Buat kampus tolong cat ulang tembok wifi jangan di password,n
Kursi diperbaharui,n
"Semoga bapak sigit priyambodo, st.,mt. lebih rajin mengajar",p
"Jangan telat sigit priyambodo, st.,mt.",n
Kursi ganti ruangan tidak nyaman,n
"Diperbanyak contoh aplikatif/penerapan dalam kehidupan sehari hari sigit priyambodo, st.,mt.",p
"Semangat ngajarnya ya pak slamet hani, st.,mt., mengajar memakai bahan yang up to date alat/device yang sedang berkembang",p
Wifi masih lemot kampus bocor di depan baa,n
Ganti keramik dan kursi karena sudah kuno wifi lemot,n
"Cara mengajarnya terlalu monoton tolong agar dapat bervariatif lagi dalam pembelajarannya slamet hani, st.,mt.",n
Ac kurang dingin kelas bocor wifi kurang cepat dan kurang luas,n
Fasilitas secukupnya saja yang penting kualitas mahasiswa,p
"Wifi jelek, lemot",n
Ac tidak dingin ruangan bebas rokok,n
Ac diperbaiki,n
Permudah birokrasi pengajuan dana untuk event perlombaan yang diikuti mahasiswa,p
Fasilitas internet perlu diperbaharui,p
"Apa nggak sebaiknya kampus 1,2,3 dijadikan satu kampus di lahan yang luas agar kualitas mahasiswa nya lebih maju dan kampus punya nama di nasional",p
"Ruangan dicat, kampus, fasilitas diperbaharui",n
Ruangan kelas harus full ac alat praktikum mohon diperlengka[,n
Terimakasih,p
Mohon diperbaharui suasana ruang kelas dan ditambah ac ,p
"Spidol beli baru yang banyak, - proyektor diperbaiki, larangan keras merokok area kampus",n
Kampu dicat ulang wifi ditambah kecepatnaya parkiran ditambah satpam biar nggak cuma ngopi atau tidur di tempat parkir ac nya ditambah,n
Dinding kotor jaringan wifi jelek ac kurang dingin,n
Ac kurang dingin wifi tidak di password tukang parkir malas,n
Acnya kurang memadai,n
"Ac tidak dingin, lab mesin listrik alat praktikum perlu diperbaiki dan diperbaharui pada rusak",n
"Bahan2 untuk praktikum (kabel) kurang memadai, papan tulis sedikit kotor",n
Ac gak dingin,n
Perbanyak wifi,n
"Perbanyak soal2 latihan ya pak slamet hani, st.,mt. biar bisa ngerjain soal perhitungannya",p
Failitas wifi ditingkatkan lagi,n
Pembangunan taman kampus,p
"Ini ada ac apa accecosries, ohp/lcd diperbaiki",n
"untuk warna tembok ruangan perlu di uograde (cat ulang), kebersihan whiteboard harus diperhatikan, kerjasama instansi dengan pihak luar ditingkatkan lagi",n
Terima kasih,p
Terimakasih,p
"Untuk jadwal sore, dianjurkan sebelum isoma tidak dilaksanakan kuliah karena mengurangi konsentrasi pembelajaran, dianjurkan diubah waktu sesuai dengan waktu pekerja pemerintahan pukul 07.30-17.00 wib",p
Perbnyak ac seluruh ruangan,n
Ac kami harap dipasang,n
"pembersihan ruangan kelas setip pagi dan sore secara efektif, pemeriksaan kelayakan ohp?lcd penataan tempat parkir yang baik",p
Tingkatkan pelayanan dan prasarana kampus,p
"Ditambah buku pada bidang geologi diperpustakaan dilengkapkan, fasilitas laboratorium geologi, perbaharui dan ditambah, fasilitas kampus ",p
Ruangan yang terasa panas mohon diperbaiki acnya,n
Kurang cctv parkiran kurang luas,n
Praktikum agar ditambah lagi alatnnya,p
Kaca ventilasi agar dikasih penutup agar orang yang mondar-mandir tidak mengganggu konsentrasi dalam belajar,p
"Penjabaran materi ditingkatkan mujiman, st.,mt.",p
"Lcd kurang baik menampilkan gambar, warna tidak sesuai, ukuran layar dan tampilan berbeda jauh jadi mahasiswa yang dibelakang terkadang tidak lagi mengerti",n
"Sebaiknya dalam pembelajaran bisa disampaikan video tentang materi yang sedang dibahas, lebih aktif untuk memberikan umpan kepada mahasiswa mujiman, st.,mt.",p
"Parkiran terlalu sempit, kampus kurang asri masih ada peralatan praktek yang belum diadakan",n
Ac kurang dingin tolong secepatnya dipasang ac,n
"Proyektor lebih diperbaiki agar gambar lebih jelas, sarana untuk kampus harusnya ada wifi, wifinya disediakan dengan kecepatan yang bagus untuk membantu mahasiswa",p
Fasilitas wifi ditingkatkan lagi,n
"Dalam menyampaikan materi sudah cukup jelas, hanya waktu yang sangat singkat",p
"Mohon dosennya menguasai materi dengan referensi yang jelas cara penyampaian yang jelas tegas dan tambah interaksi dengan mahasiswa buat pelajaran menarik mujiman, st.,mt.",p
"Fasilitas di kampus ditambah lagi,parkir diperluas dan ruangan ditambah lagi",p
"Untuk kelayakan proyektor lebih diperhatikan lagi karena warna yang ditampilkan tidak sesuai dengan dilayar komputer, ac sering tidak berfungsi ",n
Ruangan panas ruangan kurang besar kapasitas mahasiswa parkir kurang luas ac kurang memadai,n
Kenyamana ruang kelas diperbaharui,p
Ruang kelas terlalu pengap karena ac tidak berfungsi dengan baik terutama dalam menyediakan udara bersih penyediaan dalam bentuk audio video tidak pernah dilakukan agar menarik minat hendaknya ditambah video2,n
"Suasana ruang belajar diperbaiki (cat ulang) sediakan atm khusus mahasiswa, jika quisioner ini benar-2 dibaca dan tidak hanya sekedar fasilitas saja. pada tahun ajaran depan pasti ada perubahan, utamakan kesejahteraan dan kenyamanan mahasiswa ",n
Lcd terkadang tidak menunjukkan warna asli dari laptop,n
"Tulisan dosen tolong diperbaiki mujiman, st.,mt.",n
"Ac : kurang dingin s2-02, komputer s2-02 hanya untuk pajangan ataukah hanya menghamburkan uang mahasiswa atau sebagai sarana korupsi ? mohon kejelasannya !!",n
Setiap ruang kelas ditambah ac agar nyaman belajar,p
Tingkatkan mutu akprind dimulai dengan menambahkan fasilitas sehingga mahasiswa semangat untuk kuliah dan nantinya berprestasi,p
Ac bukan cuma pajangan saja,n
Peningkatan fasilitas ruang kelas,p
Peningkatan fasilitas ruang kelas,p
"Papn tulis, spidol dan proyektor harys lebih ditingkatkan lagi kualitasnya, wifi harus lebih ditingkatkan lagi karena semua itu penunjang sarana belajar mahasiswa",p
Ac kurang ok,n
Ruangan sempit,n
"Bahan materi/modul kurang lengkap noviana pratiwi, s.si.,m.sc.",n
Wifi,n
Lebih baik lagi jika penjelasannya lebih detail,p
Tambahkan/adakan perpus dikampus 3,p
Parkiran dikampus 3 kantin dikampus 3 ruangan dikampus 3 pasang ac,n
Ac kurang dingin atap bocor,n
Diadakan perpus dikampus 3 diadakan ruang diskusi dikampus 3 kelayakan tempat parkir dikampus 3 (diberi atap) adanya ac disetiap ruang dikampus 3,p
"Kelas sumuk, hujan bocor",n
"Wifi koneksi harus lebih ditingkatkan, bangunan kampus harus dll cat ulang lagi, ac tidak berfungsi",n
"Lapangan kampus akprind lebih ditingkatkan lagi, ruang himpunan difasilitasi & lebih diperbesar ruangannya",p
"Ruangan kurang dingin, papan tulis kotor, perlu dilengkapi pengeras suara ",n
"Whiteboard, warna hitam atau warna putih gak pernah bersih, ini kampus apa sma ",n
"1. tolong fasilitas wifi dioptimalkan lagi, 2. tembok dicat lagi",p
"Ac ruangan diperbagus, wifi kampus",p
Ac kurang dingin,n
Wifi tolong disediakan untuk membantu mahasiswa !!!,n
Ac tidak dingin absen elktronik sia sia,n
Fasilitas cukup memadai,p
"Ruang kuliah diberi microfon, ac tidak dingin, kaca diberi gorden",n
Dibutuhkan renovasi ruangan kelas yang meliputi pengecatan tembok dan perbaikan fasilitas pembelajaran,n
"Rambu-2 akan adanya bencana disetiap gedung ist akprind, akrteditasi b.. boss demi keselamatan",n
Renovasi dilakukan secara berkala,p
Ac rusak,n
Kampus bebas asap rokok ac kurang dingin,n
Kebersihan kelasnya lebih ditingkatkan sarana prasarana yang mestinya harus diperbaharui,p
Kebersihan dan kenyamanan ruang belajar perlu ditingkatkan untuk menunjang prestasi mahasiswa/mahasissi,p
"Ac kurang dingin,wifi kurang yang bagi mahasiswa parkiran kurang luas banjir saat hujan kampusnya",n
"Agar lebih membnerikan penyediaan materi/bahan ajar membantu mahasiswa biar lebih jelas erma susanti, s.kom., m.cs.",p
"1. spidol jangan dibiarkan kering (diisi), 2.kelas dicat ulang, plafon diganti warna sudah lapuk, 3. kursi kotor diganti banyak corat-coret dan ada yang rusak",n
Ruang pengajar kurang nyaman,n
"Ac tidak terasa ruang kami disini bayar mahal kenapa uang kami kalian korupsi, kami menuntut hak kami",n
"Perbanyak libur natal, fasilitas yang serba baru",n
Ac dikelas kurang dingin dan fasilitasnya juga kurang,n
"Adain konser, ada bintang tamunya sekali kali",p
"Spidol kelas kurang, lcd proyeltor sering gakm jelas perlu diperbaiki",n
Ac tidak layak,p
Sangat baik,p
Cat ulang kampus terutama dalam ruangan ac baru,n
Untuk ac yang ada diruangan harusnya diperbaiki biar bisa memberikan kenyamanan dalam belajar,p
Kampus kuno,n
Ruangan ditambah ac,n
Tingkatkan pelayanan dan fasilitas kelas,p
"Penguasaan materi perlu ditingkatkan dan penyampaiaanya diperbaiki kris suryowati, s.si.;m.si.",p
Setiap ruangan harap diberi ac dibangun lapangan,n
Tambahac setiap ruangan,n
"Terlalu cepat dalam penyampaian materi membuat susah dipahami dan dimengerti kris suryowati, s.si.;m.si.",n
Ruang kelas ditambah ac karena tidak dingin ,n
"Lebihdapat untuk menarik minat siswa agar lebih berselera untuk berkreasi dan mampu menjadi tauladan dalam bekerja sebagai dosen harus mampu membuat mahasiswanya semakin menyukai pelajaran ini kris suryowati, s.si.;m.si.",p
Ac perlu ditambah setiap ruangan agar nyaman belajar,p
Kurang cctv ac kurang dingin parkiran kurang luas wifi tidak memadai,n
Memberikan kelayakan bagi mahasiswa,p
Ac kurang dingin kursi diganti,n
Diperluas jaringan wifi,n
Ac kurang segera ditambah ac wifi lemot,n
Yang sederhana dibuat rumit,n
"Lebih jelas lagi dalam memberi penjelasan kris suryowati, s.si.;m.si.",n
Kelas dicat ulang dosen kurang jelas,n
Minta modul pak,n
Fasilitas kampus kurang jos,n
Whiteboard sudah mulai tidak terlihat ac tidak dingin ,n
Ac kurnng banyak dan sering mati,n
Minim bahan ajar,n
Kenyamanan ruang kelas diperbaiki,n
"Ruangan seharusnya ac nya ditambah dan untuk dosen seharusnya menjelaskannya secara jelas dra. winarni, mm",n
"Ruangan wajib ber ac waktu penjelasan materi dosen kurang jelas dra. winarni, mm",n
Seluruh ruang kelas diberi ac supaya nyaman belajar,p
"Meningkatkan penjelasan disetiap materi2 yang diajarkan dra. winarni, mm",p
"Meningkatkan penjelasan dan penulisan disetiap mengajar dra. winarni, mm",p
"Whiteboard & kursi kotor, spidol habis, ac tidak berfungsi, lcd warnannya tidak sesuai aslinya",n
"1. buat lab. petroleum, 2.papan tulis yang tidak layak diganti, 3. komputer diperbaharui 4. wifi dikencengin kecepatannya",n
"Ac ditambah suhunya !!, lcd diganti baru !!!",n
"Kelas panas, ditambah ac, mahasiswanya banyak",n
"Tulisannya tidak jelas dra. winarni, mm",n
Seharusnya kalo mengajar seharusnya agak keras,n
"Ac atau accecories ini !! ruangan banyak yang bocor, panas tolong diperhatikan",n
Kebersihan dan kenyamanan ruang kelas,n
Ruang kelas diberi ac semua,n
Tambahkan sarana dan prasarana penunjang mahasiswa terutama wifi,p
"Papntulis kotor/gak bersih, ac sering mati, kalau hujan atapnya ada yang bocor",n
Harus lebih jelas lagi saat menulis dipapan tulis,n
"Tambah gedung baru, dan gedung yang lama direnovasi dan seluruh ruangan dikasih ac",p
Sarana & prasarana dapat ditingkatkan,p
Agar jaringan free wifi diperluas,p
Semangat ngajar,p
"1. ac tidak dingin, tidak ada gunanya dipasang ac, 2. tempat duduk didepan jurusan t. geologi harus diganti karena sudah reot dan banyak paku (bisa menyebabkan luka) sangat membahayakan",n
"Tulisan terlalu kecil sulit dibaca dra. winarni, mm",n
Parkiran mobil dan motor kurang memadai,n
"Lebih kompeten lagi dalam memberi nilai terhadap mahasiswa dra. winarni, mm",p
"Tulisan terlalu kecil yang dibelakang kurang jelas melihat dra. winarni, mm",n
"Ac diganti, wifi ditambah diruang kelas",n
"Tulisan sulit dibaca dra. winarni, mm",n
Wifi diperluas di seluruh kampus dan dihidupkan pada kursi dan tembok kelas di cat lagi,n
"Saran saya untuk spidol, lcd, papan tulis & ac harus diperhatikan agar tidak mengganggu kegiatan belajar mengajar dikelas dan juga kampus kita harus disdiakan area bebas rokok",n
"Untuk dosen, lebih diperjelas tulisannya dan jangan cepat2 mengajarnya dra. winarni, mm kurang nyaman kelasnya",n
"Tinta spidol, spidol terisi, papan tulis proyektor lcd",n
"Karyanan diharapkan ramah pada mahasiswa, ac kurang baik, proyektor b2-02 kurang baik",n
"Presentasi menggunakan projektor, jangan mikro karena kurang jelas dra. winarni, mm",n
Dilengkapi perlengkapan laboratorium,p
Meningkatkan fasilitas wifi,p
"Ac diperbanyak, lcd diperbaiki",n
"Fasilitas pendingin udara yang harus diperbaiki dengan kurangnya jangkauan wifi untuk menunjang pembelajaran ir. muhammad yusuf, mt.",p
Acnya kadang mati,n
Tolong ruangan ditambah ac agar pembelajaran menjadi nyaman,p
Fasilitas dan pembangunan belum ada kabar padahal pendaftaran maba uangnya banyak itu lapangan atau lahan parkir mobil,n
Ac dan wifi ditambah,n
"Pendingin ruangan segera ditambah dan diperbaiki, hotspot area ruangan diskusi",n
"Salah satu penunjang kenyamanan belajar adalah kelasnya tidak panas/sumuk, jadi kalau bisa kelas yang masih panas segera ditambah pendingin",p
Sangat baik,p
Kantin diperluas,n
Tambah fasilitas diruang kelas agar lebih nyaman,p
Wifi dalam kelas lebih baik,p
Fasilitas diperbaharui dan ditambah,p
Fasilitas dan ac dperbaharui,p
Keramik di b-217 diperbaiki,n
Cat baru,n
Berikan pepohonan yang teduh dikampus 1,p
Tetap kasih nilai yang terbaik,p
"ac tidak fungsi, lcd tidak berfungsi",n
Ac ruangan mohon dicek agar tidak menggangu proses pembelajaran,n
"Kursinya kurang nyaman (perlu diganti), wifinya kurang lancar",n
"Wifinya kurang lancar, papan tulisnya kotor",n
"Tambah ac, spidol, proyektor, whiteboard kampus 1 dan 2, wifi dikampus 3",n
Disediakan area/tempat khusus merokok,p
"Mohon kedepannya menyiapkan whiteboard yang baru, spidolnya yang banyak, penghapus, acnya kurang dingin, kampus dicat baru",p
Fasilitas dilengkapi dan diperbaharui,n
"-ac disetiap kelas diperbaiki, -wifi dikampus 2, -dibagian barat dikasih ac, ubinnya diganti keramik, -kamar mandi kampus 2 diperbaiki",n
Sarana penunjang kegiatan kuliah perlu ditingkatkan dan perlu adanya zona bebas rokok ,n
Ac kurang dingin,n
Kami kangen ibu uning,p
"Koleksi buku perpus ditambah lagi, jam kuliah harus tepat waktu (bu uning)",p
Ac diperbanyak pendingin,n
Acnya dibuat lebih banyak & spidol,n
Ac harus diperbaiki ,n
Ac harus diganti hampir semua ruangan ac off,n
Ac diperbaiki,n
"1. ac ditambah, acnya gak terasa, 2. spidol ditambah, kebanyakan spidol banyak tidak berfungsi, lcd diperbaiki karena sering mati ",n
Tingkatkan sarana dan prasarana kampus,p
Bangun gedung baru,n
"Ac kurang banyak, papan tulis, spidol kurang bagus ",n
Ganti gedung baru,n
Ac diganti disetiap ruangan,n
"Atm diadakan, ac dipelihara/diberi perawatan",n
Bangun gedung baru dan layak,n
"Ac ruang kurang dingin, lampu penerang kurang",n
Harap memperbaiki cat dan segala coretan,n
Lebih ditingkatkan pada pembejaran selanjutnya,p
"1. sediakan ruang khusus perokok, 2. perhatikan kebersihan whiteboard",p
Temboknya dicat ulang pake dulax,n
Ac kurang dingin kalau kelas penuh,n
"Untuk ruangan yang kedap udara, mohon ditambahi pendingin ruangan karena kondisinya kurang nyaman, referensi pada perpustakaan kurang lengkap ",p
Untuk yang perokok disediakan tempat khusus dan kalau bisa untuk tidak merokok dilingkungan kampus,p
Lebih interaktif,p
"Lingkungan kampus bersih dari puntung rokok ! atm kampus, pengeeras suara ruangan, ruang s2-07 bocor !!! ",n
Ac tolong diperbaiki,n
"Ac kurang dingin, kursi rusak, spidol rusak, papan tulis jorok",n
"Ac apa pajangan !, kursi kurang nyaman, lcd buta warna, spidol kurang cairan (kering). komputer dekorasi apa accecories ruangan !",n
"Sarana penunjang perlu diganti (lcd,whiteboard), itu ac atau pajangan ya? s2-02-b2-03. freon ac harap diisi agar tidak dikira pajangan, mohon diperhatikan guna kelayakan kegiatan, spidol itu perlu beli, banyak yang macet ",n
"Ac tolong diperbaiki, fasilitas diperbaiki",p
"1. buat lab petroleum, 2. papan tulis yang sudah tidak layak pakai diganti, 3. komputer diperbanyak, 4. buku tentang geologi diperbanyak",n
Tingkatkan fasilitas ruangan dan fasilitas outdoor,p
"Ketersediaan ohp, kelayakan lcd dan ac",p
"Ruangan kelas panas ac tidak fungsi dengan baik, papn tulis tidak bersih",n
"Whitevboard dibersihkan setiap hari, spidol beli yang baru, ac ditambah kurang dingin",n
"Tambah ac, wifi buat mahasiswa mana ???, masa wifi buat mahasiswa perlu beli paket ???",n
"Perbaiki ac setiap ruangan masih kurang dingin, perbaiki siistem portal akprind, ganti lcd yang baik, tambah ruang praktikum jurusan teknik geologi",n
"1. diperlukan speaker dan microfon untuk dosen mengajar agar terdengar sampai belakang, 2. perlunya cat dinding kelas dan kampus dengan warna yang segar",p
"Ac, kantin, parkiran tolong dipikirkan dan kursinya tidak layak !!! ",n
"Lcd sering error minta ganti yang baru sarana praktikum lebih dilengkapi, ac kurang dingin ",n
"Lebih memperbaiki fasilitas kampus, ftm mohon dipindahkan dikampus iii, kampus iii sebagai kampus geologi",n
"Ac kurang dingin referensi buku di perpus kurang alat di lab elektro tolong iperbaiki,dilengkapi dan diperbaharui",n
"-ac kurang dingin, spidol selalu gak ada isinya, -renovasi gedung, - ciptakan kampus bebas asap rokok",n
"Tambahkan kualitas ac yang semua !, lcd/proyektor harap diperbaiki/diganti !",n
"Dilakukan pengecekan atas fasilitas ruangan seperti ac, spidol dan lcd ",p
Ac kurang dingin,n
Ac tidak dingin,n
Dilengkapi alat di lab dan perbaiki kelas,p
Fasilitas kelas kurang nyaman,n
Wifi dan ac diperbaiki,n
Ac nya ditambah,n
Fasilitas lebih ditingkatkan,n
Diperbanyak contoh aplikasi dan pembahasan yang dalam,p
Ac nya kurang memadai,n
Fasilitas dalam kelas diperbaiki lagi,p
Untuk lantai ruang pengajaran keramik pada pecah cat tembok kurang bersih,n
Kantin diperbaharui dan diperluas,p
Agar tidak diberlakukan daerah bebas rokok,p
"Acnya harus diperbaiki, area bebas rokok",p
"Acnya tidak dingin, proyektornya tidak bekerja dengan baik, wifi kurang besar",n
"Ac sering mati /tidak berfungsi, tolong ganti untuk kenyamanan kuliah",n
Tolong diperbanyak pendingin ruangannya (ac) dan wifi portablenya dapat diperluas lagi untuk kenyamanan mahasiswa,n
Dosen terbaik yang ada di ist akprind,p
"Ac ditambah, kursinya jelek. ganti dong",n
Fasilitasc diperbaiki,p
Ac rusak dan jaringan wifi yang tidak layak,n
"Dosen pertama saya yang memberikan arahan jika saya salah(uning lestari,st,m.kom)",p
"Fasilitas pendingin ditambah dong udah ada yang rusak, wifi untuk mahasiswa mahal",n
